"Survived","Pclass","Sex","Age","Fare","Embarked","familysize","title"
0,3,"male",0.0434782608695652,2.11021320034659,"S",1.09861228866811,"Mr."
1,1,"female",0.0256410256410256,4.2805931204649,"C",1.09861228866811,"Mrs."
1,3,"female",0.037037037037037,2.1888563276657,"S",0.693147180559945,"Miss."
1,1,"female",0.0277777777777778,3.99083418585244,"S",1.09861228866811,"Mrs."
0,3,"male",0.0277777777777778,2.20276475771183,"S",0.693147180559945,"Mr."
0,3,"male",0.04,2.24689266289817,"Q",0.693147180559945,"Mr."
0,1,"male",0.0181818181818182,3.96769420279861,"S",0.693147180559945,"Mr."
0,3,"male",0.333333333333333,3.09444574649002,"S",1.79175946922805,"Master."
1,3,"female",0.0357142857142857,2.49595373871806,"S",1.38629436111989,"Mrs."
1,2,"female",0.0666666666666667,3.43626847138374,"C",1.09861228866811,"Mrs."
1,3,"female",0.2,2.87356463957978,"S",1.38629436111989,"Miss."
1,1,"female",0.0169491525423729,3.31600253559892,"S",0.693147180559945,"Miss."
0,3,"male",0.0476190476190476,2.20276475771183,"S",0.693147180559945,"Mr."
0,3,"male",0.025,3.47429293673271,"S",2.07944154167984,"Mr."
0,3,"female",0.0666666666666667,2.18089192271532,"S",0.693147180559945,"Miss."
1,2,"female",0.0178571428571429,2.83321334405622,"S",0.693147180559945,"Mrs."
0,3,"male",0.333333333333333,3.40535539181082,"Q",1.94591014905531,"Master."
1,2,"male",0.571428571428571,2.63905732961526,"S",0.693147180559945,"Mr."
0,3,"female",0.03125,2.94443897916644,"S",1.09861228866811,"Mrs."
1,3,"female",0.0133333333333333,2.10717829665144,"C",0.693147180559945,"Mrs."
0,2,"male",0.0277777777777778,3.29583686600433,"S",0.693147180559945,"Mr."
1,2,"male",0.0285714285714286,2.63905732961526,"S",0.693147180559945,"Mr."
1,3,"female",0.0625,2.20046376992729,"Q",0.693147180559945,"Miss."
1,1,"male",0.0344827586206897,3.59731226058845,"S",0.693147180559945,"Mr."
0,3,"female",0.111111111111111,3.09444574649002,"S",1.79175946922805,"Miss."
1,3,"female",0.0256410256410256,3.47777254588823,"S",2.07944154167984,"Mrs."
0,3,"male",0.04,2.10717829665144,"C",0.693147180559945,"Mr."
0,1,"male",0.05,5.57594910314632,"S",1.94591014905531,"Mr."
1,3,"female",0.0123456790123457,2.18371146285563,"Q",0.693147180559945,"Miss."
0,3,"male",0.04,2.18557925524111,"S",0.693147180559945,"Mr."
0,1,"male",0.024390243902439,3.35762159894528,"C",0.693147180559945,"other"
1,1,"female",0.166666666666667,4.99396918278707,"C",1.09861228866811,"Mrs."
1,3,"female",0.0138888888888889,2.16905370036952,"Q",0.693147180559945,"Miss."
0,2,"male",0.0149253731343284,2.4423470353692,"S",0.693147180559945,"Mr."
0,1,"male",0.0344827586206897,4.42089632468729,"C",1.09861228866811,"Mr."
0,1,"male",0.0232558139534884,3.97029191355212,"S",1.09861228866811,"Mr."
1,3,"male",0.04,2.10768880461794,"C",0.693147180559945,"Mr."
0,3,"male",0.0454545454545455,2.20276475771183,"S",0.693147180559945,"Mr."
0,3,"female",0.0526315789473684,2.94443897916644,"S",1.38629436111989,"Miss."
1,3,"female",0.0666666666666667,2.5048481563289,"C",1.09861228866811,"Miss."
0,3,"female",0.024390243902439,2.3489914658082,"S",1.09861228866811,"Mrs."
0,2,"female",0.0357142857142857,3.09104245335832,"S",1.09861228866811,"Mrs."
0,3,"male",0.04,2.18557925524111,"C",0.693147180559945,"Mr."
1,2,"female",0.25,3.75136587112538,"C",1.6094379124341,"Miss."
1,3,"female",0.05,2.18371146285563,"Q",0.693147180559945,"Miss."
0,3,"male",0.04,2.20276475771183,"S",0.693147180559945,"Mr."
0,3,"male",0.04,2.80336038090653,"Q",1.09861228866811,"Mr."
1,3,"female",0.0138888888888889,2.16905370036952,"Q",0.693147180559945,"Miss."
0,3,"male",0.04,3.12144820486882,"C",1.38629436111989,"Mr."
0,3,"female",0.0526315789473684,2.9338568698359,"S",1.09861228866811,"Mrs."
0,3,"male",0.125,3.70592091996879,"S",1.94591014905531,"Master."
0,3,"male",0.0454545454545455,2.17475172148416,"S",0.693147180559945,"Mr."
1,1,"female",0.02,4.35323099115263,"C",1.09861228866811,"Mrs."
1,2,"female",0.0333333333333333,3.29583686600433,"S",1.09861228866811,"Mrs."
0,1,"male",0.0151515151515152,4.14280451314698,"C",1.09861228866811,"Mr."
1,1,"male",0.598802395209581,3.59731226058845,"S",0.693147180559945,"Mr."
1,2,"female",0.0454545454545455,2.4423470353692,"S",0.693147180559945,"Miss."
0,3,"male",0.0338983050847458,2.10768880461794,"C",0.693147180559945,"Mr."
1,2,"female",0.166666666666667,3.35863776724336,"S",1.6094379124341,"Miss."
0,3,"male",0.0833333333333333,3.86911550441687,"S",2.19722457733622,"Master."
0,3,"male",0.0434782608695652,2.10768880461794,"C",0.693147180559945,"Mr."
1,1,"female",0.0256410256410256,4.39444915467244,"C",0.693147180559945,"Miss."
0,1,"male",0.0217391304347826,4.43645563260035,"S",1.09861228866811,"Mr."
0,3,"male",0.2,3.36384159511839,"S",1.94591014905531,"Master."
0,1,"male",0.571428571428571,3.35762159894528,"C",0.693147180559945,"Mr."
1,3,"male",0.04,2.78783441383035,"C",1.38629436111989,"Master."
1,2,"female",0.0333333333333333,2.4423470353692,"S",0.693147180559945,"Mrs."
0,3,"male",0.05,2.21466057194252,"S",0.693147180559945,"Mr."
1,3,"female",0.0555555555555556,2.1888563276657,"S",2.07944154167984,"Miss."
0,3,"male",0.037037037037037,2.26825241391354,"S",1.38629436111989,"Mr."
0,2,"male",0.0303030303030303,2.4423470353692,"S",0.693147180559945,"Mr."
0,3,"female",0.0588235294117647,3.86911550441687,"S",2.19722457733622,"Miss."
0,2,"male",0.0454545454545455,4.31079912538551,"S",0.693147180559945,"Mr."
0,3,"male",0.037037037037037,2.73788081106088,"C",1.09861228866811,"Mr."
1,3,"male",0.0303030303030303,4.05171190165724,"S",0.693147180559945,"Mr."
0,3,"male",0.0384615384615385,2.15755932094379,"S",0.693147180559945,"Mr."
0,3,"male",0.04,2.18557925524111,"S",0.693147180559945,"Mr."
0,3,"male",0.04,2.20276475771183,"S",0.693147180559945,"Mr."
1,2,"male",0.546448087431694,3.40119738166216,"S",1.38629436111989,"Master."
1,3,"female",0.032258064516129,2.60083611679506,"S",0.693147180559945,"Miss."
0,3,"male",0.0434782608695652,2.30258509299405,"S",0.693147180559945,"Mr."
1,3,"male",0.0333333333333333,2.35137525716348,"S",0.693147180559945,"Mr."
1,3,"female",0.013986013986014,2.17333025713678,"Q",0.693147180559945,"Miss."
0,1,"male",0.0344827586206897,3.87328217711172,"S",0.693147180559945,"Mr."
1,2,"female",0.0555555555555556,2.4423470353692,"S",0.693147180559945,"Miss."
1,3,"female",0.0294117647058824,2.82435065679837,"S",1.6094379124341,"Mrs."
0,3,"male",0.0588235294117647,3.5660053559634,"S",1.79175946922805,"Mr."
0,3,"male",0.0408163265306122,2.20276475771183,"S",0.693147180559945,"Mr."
1,1,"female",0.0416666666666667,5.57594910314632,"S",1.94591014905531,"Miss."
0,3,"male",0.04,2.20276475771183,"S",0.693147180559945,"Mr."
0,3,"male",0.0333333333333333,2.20276475771183,"S",0.693147180559945,"Mr."
0,3,"male",0.0476190476190476,2.18089192271532,"S",0.693147180559945,"Mr."
0,1,"male",0.0212765957446809,4.12995298968947,"S",1.09861228866811,"Mr."
0,3,"male",0.037037037037037,3.07153523696949,"S",1.6094379124341,"Mr."
0,3,"male",0.0166666666666667,2.11021320034659,"S",0.693147180559945,"Mr."
0,3,"male",0.04,2.20276475771183,"S",0.693147180559945,"Mr."
0,1,"male",0.0138888888888889,3.57386695198272,"C",0.693147180559945,"Mr."
1,1,"male",0.0416666666666667,4.16446590785364,"C",1.09861228866811,"Mr."
1,2,"female",0.0285714285714286,3.17805383034795,"S",1.09861228866811,"Mrs."
0,2,"male",0.0285714285714286,3.29583686600433,"S",1.09861228866811,"Mr."
0,3,"female",0.0344827586206897,2.18557925524111,"S",0.693147180559945,"Miss."
